hr2397-113,Y000031,Failed,113,2013-06-17,L000580,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,D000096,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,D000399,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,W000187,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,D000621,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,D000533,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,M001190,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,B001270,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,B001273,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,B001278,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,M001177,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,N000179,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,C001072,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,C001076,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,C001077,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,C001075,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,C001078,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,W000207,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,D000197,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,D000191,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,G000548,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,L000557,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,L000551,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,R000486,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,K000375,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,B001280,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,B001283,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,P000597,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,P000591,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,P000593,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,P000592,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,P000599,yea,
hr2397-113,Y000031,Failed,113,2013-06-17,P000598,yea,
