NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	3	NULL	NULL	NULL	NULL
NULL	NULL	3	NULL	NULL	NULL	NULL
NULL	NULL	2	NULL	NULL	NULL	NULL
NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	10	NULL	NULL	NULL	NULL
NULL	NULL	2	NULL	NULL	NULL	NULL
NULL	NULL	4	NULL	NULL	NULL	NULL
NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	2	NULL	NULL	NULL	NULL
NULL	NULL	2	NULL	NULL	NULL	NULL
NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	13	NULL	NULL	NULL	NULL
NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	2	NULL	NULL	NULL	NULL
NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	2	NULL	NULL	NULL	NULL
NULL	NULL	28	NULL	NULL	NULL	NULL
NULL	NULL	3	NULL	NULL	NULL	NULL
NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	1	NULL	NULL	NULL	NULL
NULL	NULL	9	NULL	NULL	NULL	NULL
NULL	NULL	2	NULL	NULL	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	2	NULL	NULL
NULL	NULL	NULL	NULL	2	NULL	NULL
NULL	NULL	NULL	NULL	2	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	2	NULL	NULL
NULL	NULL	NULL	NULL	4	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	2	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	2	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	2	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	1	NULL	NULL
NULL	NULL	NULL	NULL	4	NULL	NULL
NULL	NULL	NULL	NULL	2	NULL	NULL
NULL	NULL	NULL	NULL	NULL	NULL	500
NULL	NULL	NULL	NULL	NULL	NULL	1000
NULL	NULL	NULL	NULL	NULL	NULL	1250
NULL	NULL	NULL	NULL	NULL	NULL	7500
NULL	NULL	NULL	NULL	NULL	NULL	1750
NULL	NULL	NULL	NULL	NULL	NULL	250
NULL	NULL	NULL	NULL	NULL	NULL	14750
