B001259	N00027464	house	Iowa	Bruce	Braley	D	True	brucebraley	http://braley.house.gov
W000814	N00033539	house	Texas	Randy	Weber	R	True	TXRandy14	http://weber.house.gov
C001038	N00001127	house	New York	Joseph	Crowley	D	True	repjoecrowley	http://crowley.house.gov
W000800	N00000515	house	Vermont	Peter	Welch	D	True	PeterWelch	http://www.welch.house.gov
R000591	N00030768	house	Alabama	Martha	Roby	R	True	RepMarthaRoby	http://roby.house.gov
F000043	N00001746	house	Pennsylvania	Chaka	Fattah	D	True	chakafattah	http://www.house.gov/fattah
D000533	N00003209	house	Tennessee	John	Duncan	R	True	None	http://www.house.gov/duncan
N000147	N00001692	house	District of Columbia	Eleanor	Norton	D	True	EleanorNorton	http://www.house.gov/norton
S001162	N00001579	house	Pennsylvania	Allyson	Schwartz	D	True	None	http://www.house.gov/schwartz
M001179	N00031777	house	Pennsylvania	Tom	Marino	R	True	RepTomMarino	http://marino.house.gov
G000377	N00008799	house	Texas	Kay	Granger	R	True	RepKayGranger	http://kaygranger.house.gov
F000445	N00013799	house	Virginia	J.	Forbes	R	True	Randy_Forbes	http://forbes.house.gov/
H001058	N00030673	house	Michigan	Bill	Huizenga	R	True	rephuizenga	http://huizenga.house.gov
L000580	N00029400	house	New Mexico	Michelle	Lujan Grisham	D	True	replujangrisham	http://lujangrisham.house.gov
P000594	N00029391	house	Minnesota	Erik	Paulsen	R	True	RepErikPaulsen	http://paulsen.house.gov
S001180	N00030071	house	Oregon	Kurt	Schrader	D	True	repschrader	http://schrader.house.gov
S001154	N00013770	house	Pennsylvania	Bill	Shuster	R	True	RepBillShuster	http://www.house.gov/shuster
M001153	N00026050	senate	Alaska	Lisa	Murkowski	R	True	lisamurkowski	http://www.murkowski.senate.gov
P000588	N00012672	house	New Mexico	Stevan	Pearce	R	True	RepStevePearce	http://pearce.house.gov
D000598	N00009604	house	California	Susan	Davis	D	True	RepSusanDavis	http://www.house.gov/susandavis
T000467	N00029736	house	Pennsylvania	Glenn	Thompson	R	True	CongressmanGT	http://thompson.house.gov
M001177	N00006863	house	California	Tom	McClintock	R	True	RepMcClintock	http://mcclintock.house.gov
C001092	N00001285	house	New York	Chris	Collins	R	True	RepChrisCollins	http://chriscollins.house.gov
Q000023	N00030581	house	Illinois	Mike	Quigley	D	True	RepMikeQuigley	http://quigley.house.gov
E000291	N00031513	house	North Carolina	Renee	Ellmers	R	True	RepReneeEllmers	http://ellmers.house.gov
S000344	N00006897	house	California	Brad	Sherman	D	True	BradSherman	http://bradsherman.house.gov
C001100	NORECIPID	senate	New Jersey	Jeffrey	Chiesa	R	True	ChiesaNews	http://www.chiesa.senate.gov
O000168	N00029285	house	Texas	Pete	Olson	R	True	OlsonPressShop	http://olson.house.gov
D000607	N00026586	senate	Indiana	Joe	Donnelly	D	True	SenDonnelly	http://www.donnelly.senate.gov
C001083	N00030736	house	Delaware	John	Carney	D	True	johncarneyde	http://johncarney.house.gov
S001189	N00032457	house	Georgia	Austin	Scott	R	True	AustinScottGA08	http://austinscott.house.gov
D000622	N00027860	house	Illinois	Tammy	Duckworth	D	True	repduckworth	http://duckworth.house.gov
H001032	N00000860	house	New Jersey	Rush	Holt	D	True	None	http://holt.house.gov
G000556	N00028418	house	Florida	Alan	Grayson	D	True	None	http://grayson.house.gov
M000404	N00009829	house	Washington	Jim	McDermott	D	True	RepJimMcDermott	http://www.house.gov/mcdermott
